,School ID,School Name,ZIP Code,2012,2013,2014,2015,2016
0,610513,AIR FORCE HS,60609,3.0,4.6,2.5,1.1,4.1
1,610524,ALCOTT HS,60618,3.0,2.2,1.1,5.8,1.6
2,609695,AMUNDSEN HS,60625,6.3,6.6,5.3,5.0,3.9
3,610518,AUSTIN CCA HS,60644,7.3,4.2,3.1,4.5,7.9
4,609698,BOGAN HS,60652,11.9,8.5,4.4,3.5,3.1
5,610323,BOWEN HS,60617,3.2,2.2,5.1,1.4,1.6
6,610381,BRONZEVILLE HS,60615,6.6,3.2,1.2,0.2,1.9
7,609726,BROOKS HS,60628,1.5,2.0,0.9,1.5,2.7
8,609760,CARVER MILITARY HS,60627,1.1,2.4,1.5,1.8,0.6
9,610340,CHICAGO ACADEMY HS,60634,4.6,4.3,3.6,3.0,1.1
10,609753,CHICAGO AGRICULTURE HS,60655,3.6,1.4,2.5,2.0,2.1
11,609754,CHICAGO MILITARY HS,60653,9.3,3.0,2.3,1.6,0.3
12,609674,CHICAGO VOCATIONAL HS,60617,4.3,5.8,4.1,4.8,3.9
13,610244,CLARK HS,60644,5.0,3.0,2.6,2.9,1.4
14,609759,CLEMENTE HS,60622,14.1,10.9,5.5,4.7,2.2
15,610499,COLLINS HS,60623,2.3,3.7,8.3,8.2,8.4
16,609761,CORLISS HS,60628,8.6,5.7,8.5,7.0,8.1
17,609756,CURIE HS,60632,10.9,5.7,7.3,2.1,2.9
18,610402,DEVRY HS,60618,0.5,0.0,0.5,0.0,0.0
19,610245,DOUGLASS HS,60644,6.3,1.3,17.4,10.5,15.9
20,609676,DUNBAR HS,60616,7.2,5.2,7.1,10.4,6.0
21,609704,FARRAGUT HS,60623,12.7,13.6,7.4,6.6,5.9
22,609705,FENGER HS,60628,21.8,7.7,6.5,6.5,7.8
23,609708,FOREMAN HS,60641,11.1,14.1,16.0,11.5,12.6
24,609709,GAGE PARK HS,60629,15.0,7.2,10.0,6.4,1.6
25,609769,GRAHAM HS,60616,7.6,2.2,1.4,1.3,2.1
26,609694,HANCOCK HS,60629,6.6,5.9,5.6,3.0,3.4
27,609710,HARLAN HS,60628,16.7,13.8,9.5,10.5,11.3
28,609711,HARPER HS,60636,13.0,13.8,10.3,5.1,6.1
29,609712,HIRSCH HS,60619,18.0,26.3,27.2,23.7,12.9
30,609768,HOPE HS,60621,11.5,7.6,10.6,7.9,9.4
31,609741,HUBBARD HS,60629,9.3,5.6,3.9,2.1,2.3
32,609713,HYDE PARK HS,60637,16.0,14.3,8.2,4.7,4.5
33,610384,INFINITY HS,60623,3.6,0.5,2.6,4.2,1.0
34,609678,JONES HS,60605,1.9,1.6,0.2,0.8,0.7
35,609764,JUAREZ HS,60608,6.8,4.6,3.2,3.7,4.1
36,609762,JULIAN HS,60643,8.2,3.9,6.4,4.6,2.6
37,609715,KELLY HS,60632,8.9,3.1,2.3,4.2,5.0
38,609716,KELVYN PARK HS,60639,14.0,11.2,11.9,8.6,6.8
39,609718,KENNEDY HS,60638,12.8,11.8,12.3,6.2,6.9
40,609746,KENWOOD HS,60615,3.2,4.6,3.1,2.1,2.0
41,609751,KING HS,60653,3.2,4.9,3.2,1.9,1.4
42,609719,LAKE VIEW HS,60613,5.4,2.9,1.3,3.4,2.4
43,609720,LANE TECH HS,60618,1.4,1.2,1.6,1.9,1.7
44,609738,LINCOLN PARK HS,60614,4.7,3.1,2.8,1.8,1.8
45,610391,LINDBLOM HS,60636,5.6,1.4,1.0,0.1,1.1
46,609722,MANLEY HS,60612,18.2,20.7,21.9,12.5,18.4
47,609780,MARINE LEADERSHIP AT AMES HS,60647,11.054605263157892,13.293406593406589,12.39516129032258,0.3,0.4
48,609723,MARSHALL HS,60624,14.6,13.4,16.6,8.2,5.2
49,609724,MATHER HS,60659,9.2,7.1,5.8,3.7,6.1
50,609725,MORGAN PARK HS,60643,13.6,3.7,8.0,6.6,7.3
51,610385,MULTICULTURAL HS,60623,5.1,4.3,3.1,3.7,4.2
52,609691,NORTH-GRAND HS,60639,6.7,6.2,6.2,4.3,3.2
53,609744,NORTHSIDE LEARNING HS,60659,0.0,0.0,0.7,0.0,0.0
54,609749,NORTHSIDE PREP HS,60625,0.9,0.3,0.2,0.4,0.1
55,610529,OGDEN HS,60622,6.9,6.6,4.3,1.2,2.1
56,610389,ORR HS,60624,25.0,27.8,10.7,25.1,19.0
57,609680,PAYTON HS,60610,2.1,0.9,0.6,0.4,0.7
58,609727,PHILLIPS HS,60653,11.4,8.8,8.4,10.1,10.3
59,610304,PHOENIX MILITARY HS,60612,4.3,2.1,1.3,0.8,0.2
60,609679,PROSSER HS,60639,4.4,1.6,2.3,2.3,0.7
61,610334,RABY HS,60624,7.2,2.6,3.7,3.8,3.2
62,609682,RICHARDS HS,60609,3.7,8.6,12.1,4.8,6.3
63,610390,RICKOVER MILITARY HS,60660,4.9,1.0,0.4,0.7,0.5
64,609707,ROBESON HS,60621,22.1,12.9,15.9,15.5,11.7
65,609728,ROOSEVELT HS,60625,11.3,4.4,8.9,8.9,8.8
66,609729,SCHURZ HS,60641,10.2,8.5,6.9,5.8,5.9
67,609730,SENN HS,60660,11.2,6.4,3.8,3.4,3.6
68,609692,SIMEON HS,60620,5.1,3.5,2.5,1.5,0.7
69,610383,SOCIAL JUSTICE HS,60623,5.1,3.7,3.5,5.3,2.6
70,610543,SOLORIO HS,60632,6.7,2.4,2.5,2.6,1.9
71,609745,SOUTHSIDE HS,60636,8.3,10.6,11.5,7.1,16.4
72,610357,SPRY HS,60623,1.3,1.1,1.6,4.7,4.7
73,609732,STEINMETZ HS,60634,15.1,7.9,7.7,5.9,4.2
74,609733,SULLIVAN HS,60626,13.0,13.4,14.1,7.5,5.7
75,609734,TAFT HS,60631,8.6,7.3,3.4,7.4,3.2
76,610506,TEAM HS,60621,5.5,5.4,9.7,4.1,6.8
77,609735,TILDEN HS,60609,21.9,12.1,8.5,10.0,7.9
78,610394,UPLIFT HS,60640,4.2,7.6,4.3,1.9,5.1
79,609766,VAUGHN HS,60641,2.8,1.9,2.8,1.9,1.0
80,609737,VON STEUBEN HS,60625,2.9,1.3,1.2,0.8,0.9
81,609739,WASHINGTON HS,60617,9.6,7.4,6.4,2.8,2.7
82,609740,WELLS HS,60622,13.5,15.9,9.9,6.2,3.8
83,609693,WESTINGHOUSE HS,60624,2.6,0.6,1.2,0.7,0.4
84,610380,WILLIAMS HS,60615,2.3,1.7,5.8,0.7,1.2
85,610392,WORLD LANGUAGE HS,60623,6.2,2.7,3.4,3.1,2.1
86,609755,YOUNG HS,60607,0.8,0.8,0.9,0.9,0.3
87,400018,AUSTIN BUS & ENTRP HS,60644,7.9,10.0,6.7,4.4,14.0
88,610501,AUSTIN POLY HS,60644,19.1,14.1,11.4,3.2,6.8
89,609702,CRANE HS,60612,28.2,11.3,12.1,10.7,10.76578947368421
90,609736,DYETT HS,60615,19.9,23.6,8.0,0.0,10.76578947368421
91,610502,MARINE MILITARY HS,60612,1.7,2.7,2.3,11.780104712041886,10.76578947368421
92,610535,MASON HS,60623,4.3,0.0,12.39516129032258,11.780104712041886,10.76578947368421
93,610297,SCHOOL OF LEADRSHP HS,60649,14.4,16.5,13.9,11.780104712041886,10.76578947368421
